"X1","X","site","location","date","gear","haul","area_sampled_ft2","notes","species","abund","mean_g_wm_ind","source","method","g_wm","area_sampled_m2"
138,138,"bcra","below",2017-06-23,"20ft_seine",2,400,NA,"smallmouth_buffalo_yoy",0,0.3,"Warmbold (2016)","direct_mass_measure",0,37.1612
139,139,"bcra","above",2017-06-23,"20ft_seine",1,400,NA,"smallmouth_buffalo_yoy",41,0.3,"Warmbold (2016)","direct_mass_measure",12.3,37.1612
140,140,"bcra","above",2017-06-23,"20ft_seine",2,400,NA,"smallmouth_buffalo_yoy",4,0.3,"Warmbold (2016)","direct_mass_measure",1.2,37.1612
141,141,"bcra","below",2017-06-28,"20ft_seine",1,400,NA,"smallmouth_buffalo_yoy",0,0.3,"Warmbold (2016)","direct_mass_measure",0,37.1612
142,142,"bcra","below",2017-06-28,"20ft_seine",2,400,NA,"smallmouth_buffalo_yoy",0,0.3,"Warmbold (2016)","direct_mass_measure",0,37.1612
143,143,"bcra","above",2017-06-28,"20ft_seine",1,400,NA,"smallmouth_buffalo_yoy",4,0.3,"Warmbold (2016)","direct_mass_measure",1.2,37.1612
144,144,"bcra","above",2017-06-28,"20ft_seine",2,400,NA,"smallmouth_buffalo_yoy",19,0.3,"Warmbold (2016)","direct_mass_measure",5.7,37.1612
145,145,"bcra","below",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
146,146,"bcra","below",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
147,147,"bcra","above",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
148,148,"bcra","above",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
149,149,"bcra","below",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
150,150,"bcra","below",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
151,151,"bcra","above",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
152,152,"bcra","above",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","crappie",0,0,NA,NA,0,37.1612
153,153,"bcra","below",2017-06-23,"20ft_seine",1,400,NA,"crappie",3,0.4,"guess of authors (2017)","length_wt_regression",1.2,37.1612
154,154,"bcra","below",2017-06-23,"20ft_seine",2,400,NA,"crappie",2,0.4,"guess of authors (2017)","length_wt_regression",0.8,37.1612
155,155,"bcra","above",2017-06-23,"20ft_seine",1,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
156,156,"bcra","above",2017-06-23,"20ft_seine",2,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
157,157,"bcra","below",2017-06-28,"20ft_seine",1,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
158,158,"bcra","below",2017-06-28,"20ft_seine",2,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
159,159,"bcra","above",2017-06-28,"20ft_seine",1,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
160,160,"bcra","above",2017-06-28,"20ft_seine",2,400,NA,"crappie",0,0.4,"guess of authors (2017)","length_wt_regression",0,37.1612
